level1id,level2id,level3id,level4id,level5id,surveyr,bycond,descrip_e,demcode,question,title_e,title_f,answer1,answer2,answer3,answer4,answer5,answer6,answer7,most_positive_or_least_negative,neutral_or_middle_category,most_negative_or_least_positive,agree,score5,score100,anscount,dept_e,indicatorid,indicatoreng,subindicatorid,subindicatoreng
6,0,0,0,0,2022,Q117 = 1,Man,1087,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",37,46,4,10,3,0,0,83,4,13,83,4.03,76,1715.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,Q117 = 1,Man,1087,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",37,46,6,9,2,0,0,83,6,11,83,4.07,77,1613.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,Q117 = 2,Woman,1088,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",41,43,3,9,3,0,0,84,3,13,84,4.09,77,3490.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,Q117 = 2,Woman,1088,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",39,46,3,10,2,0,0,85,3,12,85,4.11,78,3509.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118 = 1,Persons with a disability (total),1090,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",34,43,4,12,5,0,0,78,4,18,78,3.9,73,685.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118 = 1,Persons with a disability (total),1090,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",30,45,7,15,3,0,0,75,7,18,75,3.84,71,394.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118A = 1,"Persons with a disability, seeing disability",1091,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",21,55,4,12,8,0,0,76,4,19,76,3.71,68,45.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118A = 1,"Persons with a disability, seeing disability",1091,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",20,34,14,22,9,0,0,55,14,31,55,3.36,59,31.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118A = 2,"Persons with a disability, seeing disability not selected",1092,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",35,43,4,12,5,0,0,78,4,17,78,3.91,73,640.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118A = 2,"Persons with a disability, seeing disability not selected",1092,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",31,46,6,14,3,0,0,77,6,17,77,3.88,72,363.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118B = 1,"Persons with a disability, hearing disability",1093,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",24,52,3,18,3,0,0,76,3,21,76,3.77,69,70.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118B = 1,"Persons with a disability, hearing disability",1093,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",30,52,6,12,0,0,0,82,6,12,82,4.01,75,41.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118B = 2,"Persons with a disability, hearing disability not selected",1094,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",36,42,5,12,6,0,0,78,5,17,78,3.91,73,615.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118B = 2,"Persons with a disability, hearing disability not selected",1094,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",30,44,7,15,4,0,0,74,7,19,74,3.82,71,353.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118D = 1,"Persons with a disability, mobility disability",1097,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",42,37,2,13,6,0,0,79,2,19,79,3.96,74,95.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118D = 1,"Persons with a disability, mobility disability",1097,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",34,42,4,16,3,0,0,76,4,19,76,3.89,72,69.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118D = 2,"Persons with a disability, mobility disability not selected",1098,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",33,44,5,12,5,0,0,78,5,17,78,3.89,72,590.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118D = 2,"Persons with a disability, mobility disability not selected",1098,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",30,45,7,15,3,0,0,75,7,18,75,3.83,71,325.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2022,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity",1099,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",32,47,3,11,6,2,0,80,3,17,80,3.9,73,65.0,Health Canada,4,Workplace,14,Physical environment and equipment
6,0,0,0,0,2020,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity",1099,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.","Question 1. Je dispose des outils, de la technologie et de l'équipement dont j'ai besoin pour effectuer mon travail.",23,44,9,17,7,0,0,67,9,24,67,3.58,65,41.0,Health Canada,4,Workplace,14,Physical environment and equipment
