SURVEYR,BYCOND,descrip_E,descrip_F,DEMCODE,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_POSITIVE_OR_LEAST_NEGATIVE,NEUTRAL_OR_MIDDLE_CATEGORY,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSCOUNT,INDICATORID,SUBINDICATORID,FACTORS,QUES_TYPE
2022,Q117 = 1,Man,Homme,1087,Q01,37,46,4,10,3,0,0,83,4,13,83,4.03,76,1715,4,14,Gender,1
2020,Q117 = 1,Man,Homme,1087,Q01,37,46,6,9,2,0,0,83,6,11,83,4.07,77,1613,4,14,Gender,1
2022,Q117 = 2,Woman,Femme,1088,Q01,41,43,3,9,3,0,0,84,3,13,84,4.09,77,3490,4,14,Gender,1
2020,Q117 = 2,Woman,Femme,1088,Q01,39,46,3,10,2,0,0,85,3,12,85,4.11,78,3509,4,14,Gender,1
2022,Q117 = 3,Another gender,Un autre genre,1089,Q01,25,58,3,14,0,0,0,82,3,14,82,3.93,73,20,4,14,Gender,1
2020,Q117 = 3,Another gender,Un autre genre,1089,Q01,14,61,4,21,0,0,0,75,4,21,75,3.68,67,14,4,14,Gender,1
2022,D118 = 1,Persons with a disability (total),Personnes en situation de handicap (totale),1090,Q01,34,43,4,12,5,0,0,78,4,18,78,3.9,73,685,4,14,Persons with a disability,1
2020,D118 = 1,Persons with a disability (total),Personnes en situation de handicap (totale),1090,Q01,30,45,7,15,3,0,0,75,7,18,75,3.84,71,394,4,14,Persons with a disability,1
2022,D118A = 1,"Persons with a disability, seeing disability","Personnes en situation de handicap, trouble de la vision",1091,Q01,21,55,4,12,8,0,0,76,4,19,76,3.71,68,45,4,14,Persons with a disability,1
2020,D118A = 1,"Persons with a disability, seeing disability","Personnes en situation de handicap, trouble de la vision",1091,Q01,20,34,14,22,9,0,0,55,14,31,55,3.36,59,31,4,14,Persons with a disability,1
2022,D118A = 2,"Persons with a disability, seeing disability not selected","Personnes en situation de handicap, trouble de la vision non sélectionnée",1092,Q01,35,43,4,12,5,0,0,78,4,17,78,3.91,73,640,4,14,Persons with a disability,1
2020,D118A = 2,"Persons with a disability, seeing disability not selected","Personnes en situation de handicap, trouble de la vision non sélectionnée",1092,Q01,31,46,6,14,3,0,0,77,6,17,77,3.88,72,363,4,14,Persons with a disability,1
2022,D118B = 1,"Persons with a disability, hearing disability","Personnes en situation de handicap, trouble de laudition",1093,Q01,24,52,3,18,3,0,0,76,3,21,76,3.77,69,70,4,14,Persons with a disability,1
2020,D118B = 1,"Persons with a disability, hearing disability","Personnes en situation de handicap, trouble de laudition",1093,Q01,30,52,6,12,0,0,0,82,6,12,82,4.01,75,41,4,14,Persons with a disability,1
2022,D118B = 2,"Persons with a disability, hearing disability not selected","Personnes en situation de handicap, trouble de laudition non sélectionnée",1094,Q01,36,42,5,12,6,0,0,78,5,17,78,3.91,73,615,4,14,Persons with a disability,1
2020,D118B = 2,"Persons with a disability, hearing disability not selected","Personnes en situation de handicap, trouble de laudition non sélectionnée",1094,Q01,30,44,7,15,4,0,0,74,7,19,74,3.82,71,353,4,14,Persons with a disability,1
2022,D118C = 1,"Persons with a disability, speech disability","Personnes en situation de handicap, trouble de la parole",1095,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Persons with a disability,1
2022,D118C = 2,"Persons with a disability, speech disability not selected","Personnes en situation de handicap, trouble de la parole non sélectionnée",1096,Q01,X,X,X,X,X,X,X,X,X,X,X,X,X,,4,14,Persons with a disability,1
2022,D118D = 1,"Persons with a disability, mobility disability","Personnes en situation de handicap, problème de mobilité",1097,Q01,42,37,2,13,6,0,0,79,2,19,79,3.96,74,95,4,14,Persons with a disability,1
2020,D118D = 1,"Persons with a disability, mobility disability","Personnes en situation de handicap, problème de mobilité",1097,Q01,34,42,4,16,3,0,0,76,4,19,76,3.89,72,69,4,14,Persons with a disability,1
2022,D118D = 2,"Persons with a disability, mobility disability not selected","Personnes en situation de handicap, problème de mobilité non sélectionnée",1098,Q01,33,44,5,12,5,0,0,78,5,17,78,3.89,72,590,4,14,Persons with a disability,1
2020,D118D = 2,"Persons with a disability, mobility disability not selected","Personnes en situation de handicap, problème de mobilité non sélectionnée",1098,Q01,30,45,7,15,3,0,0,75,7,18,75,3.83,71,325,4,14,Persons with a disability,1
2022,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity","Personnes en situation de handicap, problème de flexibilité ou de dextérité",1099,Q01,32,47,3,11,6,2,0,80,3,17,80,3.9,73,65,4,14,Persons with a disability,1
2020,D118E = 1,"Persons with a disability, challenges with flexibility or dexterity","Personnes en situation de handicap, problème de flexibilité ou de dextérité",1099,Q01,23,44,9,17,7,0,0,67,9,24,67,3.58,65,41,4,14,Persons with a disability,1
2022,D118E = 2,"Persons with a disability, challenges with flexibility or dexterity not selected","Personnes en situation de handicap, problème de flexibilité ou de dextérité non sélectionnée",1100,Q01,35,43,5,12,5,0,0,78,5,18,78,3.9,73,615,4,14,Persons with a disability,1
2020,D118E = 2,"Persons with a disability, challenges with flexibility or dexterity not selected","Personnes en situation de handicap, problème de flexibilité ou de dextérité non sélectionnée",1100,Q01,31,45,7,15,3,0,0,76,7,17,76,3.87,72,353,4,14,Persons with a disability,1
2022,D118F = 1,"Persons with a disability, mental health disability","Personnes en situation de handicap, problème de santé mentale",1101,Q01,36,41,4,13,6,0,0,78,4,19,78,3.89,72,270,4,14,Persons with a disability,1
2020,D118F = 1,"Persons with a disability, mental health disability","Personnes en situation de handicap, problème de santé mentale",1101,Q01,32,46,5,13,3,0,0,78,5,16,78,3.91,73,145,4,14,Persons with a disability,1
2022,D118F = 2,"Persons with a disability, mental health disability not selected","Personnes en situation de handicap, problème de santé mentale non sélectionnée",1102,Q01,33,45,5,12,5,0,0,78,5,17,78,3.9,73,415,4,14,Persons with a disability,1
2020,D118F = 2,"Persons with a disability, mental health disability not selected","Personnes en situation de handicap, problème de santé mentale non sélectionnée",1102,Q01,29,44,8,16,3,0,0,73,8,19,73,3.8,70,249,4,14,Persons with a disability,1
2022,D118G = 1,"Persons with a disability, sensory or environmental disability","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement",1103,Q01,39,44,2,11,2,1,0,84,2,14,84,4.08,77,90,4,14,Persons with a disability,1
2020,D118G = 1,"Persons with a disability, sensory or environmental disability","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement",1103,Q01,32,43,2,16,6,0,0,75,2,22,75,3.79,70,48,4,14,Persons with a disability,1
2022,D118G = 2,"Persons with a disability, sensory or environmental disability not selected","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement non sélectionnée",1104,Q01,34,43,5,12,6,0,0,77,5,18,77,3.87,72,595,4,14,Persons with a disability,1
2020,D118G = 2,"Persons with a disability, sensory or environmental disability not selected","Personnes en situation de handicap, trouble sensoriel ou lié à lenvironnement non sélectionnée",1104,Q01,30,45,7,15,3,0,0,75,7,18,75,3.85,71,346,4,14,Persons with a disability,1
2022,D118H = 1,"Persons with a disability, chronic health condition or pain","Personnes en situation de handicap, maladie ou douleur chroniques",1105,Q01,39,40,4,12,4,0,0,80,4,16,80,3.99,75,245,4,14,Persons with a disability,1
2020,D118H = 1,"Persons with a disability, chronic health condition or pain","Personnes en situation de handicap, maladie ou douleur chroniques",1105,Q01,35,48,4,9,5,0,0,83,4,14,83,3.99,75,123,4,14,Persons with a disability,1
2022,D118H = 2,"Persons with a disability, chronic health condition or pain not selected","Personnes en situation de handicap, maladie ou douleur chroniques non sélectionnée",1106,Q01,32,45,5,12,6,0,0,77,5,18,77,3.84,71,435,4,14,Persons with a disability,1
2020,D118H = 2,"Persons with a disability, chronic health condition or pain not selected","Personnes en situation de handicap, maladie ou douleur chroniques non sélectionnée",1106,Q01,29,43,8,18,2,0,0,72,8,20,72,3.78,69,271,4,14,Persons with a disability,1
2022,D118I = 1,"Persons with a disability, cognitive disability","Personnes en situation de handicap, trouble cognitif",1107,Q01,36,39,4,13,7,1,0,75,4,20,75,3.84,71,160,4,14,Persons with a disability,1
2020,D118I = 1,"Persons with a disability, cognitive disability","Personnes en situation de handicap, trouble cognitif",1107,Q01,30,40,9,20,2,0,0,70,9,21,70,3.77,69,55,4,14,Persons with a disability,1
2022,D118I = 2,"Persons with a disability, cognitive disability not selected","Personnes en situation de handicap, trouble cognitif non sélectionnée",1108,Q01,34,45,4,12,5,0,0,79,4,17,79,3.91,73,525,4,14,Persons with a disability,1
