QUESTION,QUESTION_TYPE,Answer1ENG,Answer2ENG,Answer3ENG,Answer4ENG,Answer5ENG,Answer6ENG,Answer7ENG,PositiveENG,NegativeENG,AnscountENG
Q01,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q02,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q03,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q04,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q05,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q06,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q07,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q08,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q09,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q10,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q11,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q12,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q13,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q14,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q15,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q16,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q17,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18a,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18b,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18c,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18d,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18e,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18f,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q18g,2,Always/Almost always,Often,Sometimes,Rarely,Never/Almost never,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q19,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q20,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q21,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q22,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q23,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q24,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q25,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q26,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q27,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q28,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q29,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q30,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q31,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q32,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q33,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
Q34,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Don't know,Not applicable,Most positive or least negative answers <br />(%),Least positive or most negative answers <br />(%),Total responses
