descrip_E,BYCOND,source_file,FACTORS
Health Canada,,../data/clean\subset1.csv,General
Supervisor,Q81 = 1,../data/clean\subset2.csv,Supervisor level
Non-supervisor,Q81 = 2,../data/clean\subset2.csv,Supervisor level
Less than 3 years in the federal public service,D110 = 1,../data/clean\subset2.csv,Years in federal public service
3 to 10 years in the federal public service,D110 = 2,../data/clean\subset2.csv,Years in federal public service
11 to 20 years in the federal public service,D110 = 3,../data/clean\subset2.csv,Years in federal public service
More than 20 years in the federal public service,D110 = 4,../data/clean\subset2.csv,Years in federal public service
Less than 3 years in current department or agency,D111 = 1,../data/clean\subset2.csv,Years in current department or agency
3 to 10 years in current department or agency,D111 = 2,../data/clean\subset2.csv,Years in current department or agency
11 to 20 years in current department or agency,D111 = 3,../data/clean\subset2.csv,Years in current department or agency
More than 20 years in current department or agency,D111 = 4,../data/clean\subset2.csv,Years in current department or agency
Age - 24 years and under,Q116 = 1,../data/clean\subset2.csv,Age
Age - 25 - 29 years,Q116 = 2,../data/clean\subset2.csv,Age
Age - 30 - 34 years,Q116 = 3,../data/clean\subset2.csv,Age
Age - 35 - 39 years,Q116 = 4,../data/clean\subset2.csv,Age
Age - 40 - 44 years,Q116 = 5,../data/clean\subset2.csv,Age
Age - 45 - 49 years,Q116 = 6,../data/clean\subset2.csv,Age
Age - 50 - 54 years,Q116 = 7,../data/clean\subset2.csv,Age
Age - 55 - 59 years,Q116 = 8,../data/clean\subset2.csv,Age
Age - 60 years and over,Q116 = 9,../data/clean\subset2.csv,Age
Man,Q117 = 1,../data/clean\subset3.csv,Gender
Woman,Q117 = 2,../data/clean\subset3.csv,Gender
Another gender,Q117 = 3,../data/clean\subset3.csv,Gender
Persons with a disability (total),D118 = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, seeing disability",D118A = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, seeing disability not selected",D118A = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, hearing disability",D118B = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, hearing disability not selected",D118B = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, speech disability",D118C = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, speech disability not selected",D118C = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, mobility disability",D118D = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, mobility disability not selected",D118D = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, challenges with flexibility or dexterity",D118E = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, challenges with flexibility or dexterity not selected",D118E = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, mental health disability",D118F = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, mental health disability not selected",D118F = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, sensory or environmental disability",D118G = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, sensory or environmental disability not selected",D118G = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, chronic health condition or pain",D118H = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, chronic health condition or pain not selected",D118H = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, cognitive disability",D118I = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, cognitive disability not selected",D118I = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, intellectual disability",D118J = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, intellectual disability not selected",D118J = 2,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, other disability",D118K = 1,../data/clean\subset3.csv,Persons with a disability
"Persons with a disability, other disability not selected",D118K = 2,../data/clean\subset3.csv,Persons with a disability
Not a person with a disability,D118 = 2,../data/clean\subset3.csv,Persons with a disability
Indigenous,D119 = 1,../data/clean\subset3.csv,Indigenous and Non-Indigenous Identity
First Nations,D119A = 1,../data/clean\subset3.csv,Indigenous and Non-Indigenous Identity
Inuk (Inuit),D119B = 1,../data/clean\subset3.csv,Indigenous and Non-Indigenous Identity
Métis,D119C = 1,../data/clean\subset3.csv,Indigenous and Non-Indigenous Identity
Non-Indigenous,D119 = 2,../data/clean\subset3.csv,Indigenous and Non-Indigenous Identity
"Racialized, non-Indigenous population",D120_2 = 1,../data/clean\subset3.csv,Racial Group
"Non-racialized, non-Indigenous population",D120_2 = 2,../data/clean\subset3.csv,Racial Group
Black,D120_1 = 1,../data/clean\subset3.csv,Racial Group
East/Southeast Asian,D120_1 = 2,../data/clean\subset3.csv,Racial Group
Latino/Latina/Latinx,D120_1 = 3,../data/clean\subset3.csv,Racial Group
Middle Eastern,D120_1 = 4,../data/clean\subset3.csv,Racial Group
South Asian,D120_1 = 5,../data/clean\subset3.csv,Racial Group
"Racialized group, not included elsewhere",D120_1 = 6,../data/clean\subset3.csv,Racial Group
Multiple racialized groups,D120_1 = 7,../data/clean\subset3.csv,Racial Group
Eastern Africa,D121 = 1,../data/clean\subset3.csv,Ethnic Region
Northern Africa,D121 = 2,../data/clean\subset3.csv,Ethnic Region
Western Africa,D121 = 3,../data/clean\subset3.csv,Ethnic Region
Middle Africa,D121 = 5,../data/clean\subset3.csv,Ethnic Region
Central America,D121 = 6,../data/clean\subset3.csv,Ethnic Region
South America,D121 = 7,../data/clean\subset3.csv,Ethnic Region
Central Asia,D121 = 8,../data/clean\subset3.csv,Ethnic Region
Eastern Asia,D121 = 9,../data/clean\subset3.csv,Ethnic Region
Southern Asia,D121 = 10,../data/clean\subset3.csv,Ethnic Region
South-eastern Asia,D121 = 11,../data/clean\subset3.csv,Ethnic Region
Western Asia,D121 = 12,../data/clean\subset3.csv,Ethnic Region
Caribbean,D121 = 13,../data/clean\subset3.csv,Ethnic Region
Eastern Europe,D121 = 14,../data/clean\subset3.csv,Ethnic Region
Northern Europe,D121 = 15,../data/clean\subset3.csv,Ethnic Region
Southern Europe,D121 = 16,../data/clean\subset3.csv,Ethnic Region
Western Europe,D121 = 17,../data/clean\subset3.csv,Ethnic Region
Oceania,D121 = 18,../data/clean\subset3.csv,Ethnic Region
Ethnic Origin not included elsewhere,D121 = 19,../data/clean\subset3.csv,Ethnic Region
"Two or more Ethnic Origins, Africa only",D121 = 20,../data/clean\subset3.csv,Ethnic Region
"Two or more Ethnic Origins, Asia only",D121 = 21,../data/clean\subset3.csv,Ethnic Region
"Two or more Ethnic Origins, Europe only",D121 = 22,../data/clean\subset3.csv,Ethnic Region
"Two or more Ethnic Origins, Other",D121 = 23,../data/clean\subset3.csv,Ethnic Region
Identifies as 2SLGBTQIA+,D122 = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Two-spirit,D122A = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Lesbian,D122B = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Gay,D122C = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Bisexual,D122D = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Transgender,D122E = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Queer,D122F = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Questioning,D122G = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Intersex,D122H = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Asexual,D122I = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
2SLGBTQIA+: Another identity,D122J = 1,../data/clean\subset3.csv,2SLGBTQIA+ Identification
Does not identify as 2SLGBTQIA+,D122 = 2,../data/clean\subset3.csv,2SLGBTQIA+ Identification
White,D120_1 = 8,../data/clean\subset3.csv,Racial Group
AS,Q105A = 011,../data/clean\subset4.csv,Occupation Level
AS-01,OCCLEVEL = 056,../data/clean\subset4.csv,Occupation Level
AS-02,OCCLEVEL = 057,../data/clean\subset4.csv,Occupation Level
AS-03,OCCLEVEL = 058,../data/clean\subset4.csv,Occupation Level
AS-04,OCCLEVEL = 059,../data/clean\subset4.csv,Occupation Level
AS-05,OCCLEVEL = 060,../data/clean\subset4.csv,Occupation Level
AS-06,OCCLEVEL = 061,../data/clean\subset4.csv,Occupation Level
AS-07,OCCLEVEL = 062,../data/clean\subset4.csv,Occupation Level
AS-08,OCCLEVEL = 063,../data/clean\subset4.csv,Occupation Level
BI,Q105A = 015,../data/clean\subset4.csv,Occupation Level
BI-02,OCCLEVEL = 083,../data/clean\subset4.csv,Occupation Level
BI-03,OCCLEVEL = 084,../data/clean\subset4.csv,Occupation Level
BI-04,OCCLEVEL = 085,../data/clean\subset4.csv,Occupation Level
BI-05,OCCLEVEL = 086,../data/clean\subset4.csv,Occupation Level
CH,Q105A = 016,../data/clean\subset4.csv,Occupation Level
CH-02,OCCLEVEL = 088,../data/clean\subset4.csv,Occupation Level
CH-03,OCCLEVEL = 089,../data/clean\subset4.csv,Occupation Level
CH-04,OCCLEVEL = 090,../data/clean\subset4.csv,Occupation Level
CH-05,OCCLEVEL = 091,../data/clean\subset4.csv,Occupation Level
CM,Q105A = 021,../data/clean\subset4.csv,Occupation Level
CR,Q105A = 023,../data/clean\subset4.csv,Occupation Level
CR-01,OCCLEVEL = 101,../data/clean\subset4.csv,Occupation Level
CR-03,OCCLEVEL = 103,../data/clean\subset4.csv,Occupation Level
CR-04,OCCLEVEL = 104,../data/clean\subset4.csv,Occupation Level
CR-05,OCCLEVEL = 105,../data/clean\subset4.csv,Occupation Level
CS,Q105A = 024,../data/clean\subset4.csv,Occupation Level
CS-01,OCCLEVEL = 107,../data/clean\subset4.csv,Occupation Level
CS-02,OCCLEVEL = 108,../data/clean\subset4.csv,Occupation Level
CS-03,OCCLEVEL = 109,../data/clean\subset4.csv,Occupation Level
CS-04,OCCLEVEL = 110,../data/clean\subset4.csv,Occupation Level
CS-05,OCCLEVEL = 111,../data/clean\subset4.csv,Occupation Level
CX,Q105A = 025,../data/clean\subset4.csv,Occupation Level
CX-03,OCCLEVEL = 114,../data/clean\subset4.csv,Occupation Level
EC,Q105A = 033,../data/clean\subset4.csv,Occupation Level
EC-02,OCCLEVEL = 146,../data/clean\subset4.csv,Occupation Level
EC-03,OCCLEVEL = 147,../data/clean\subset4.csv,Occupation Level
EC-04,OCCLEVEL = 148,../data/clean\subset4.csv,Occupation Level
EC-05,OCCLEVEL = 149,../data/clean\subset4.csv,Occupation Level
EC-06,OCCLEVEL = 150,../data/clean\subset4.csv,Occupation Level
EC-07,OCCLEVEL = 151,../data/clean\subset4.csv,Occupation Level
EC-08,OCCLEVEL = 152,../data/clean\subset4.csv,Occupation Level
ED,Q105A = 035,../data/clean\subset4.csv,Occupation Level
